model_path,num_samples,accuracy,mean_dice,mean_iou,mean_precision,mean_recall,dice_c0,iou_c0,precision_c0,recall_c0,support_c0,dice_c1,iou_c1,precision_c1,recall_c1,support_c1,dice_c2,iou_c2,precision_c2,recall_c2,support_c2,dice_c3,iou_c3,precision_c3,recall_c3,support_c3
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_0_checkpoint_best.onnx,17,0.8568270627190085,0.8356804201035672,0.7219367835293472,0.8491759703465743,0.841023224336006,0.8809711715153395,0.7872640535171127,0.8209982121515584,0.95039652642493,2229864,0.8333660468881108,0.7143337845304288,0.7919286281417768,0.8793792945072232,1598117,0.7409411834983611,0.5884881419258119,0.9224587254915403,0.6191144501243114,3586156,0.8874432785124574,0.7976611541440355,0.8613183156014217,0.9152026262875594,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_0_checkpoint_final.onnx,17,0.8646949880263385,0.8409507709682884,0.7298525836927028,0.8570858237591198,0.8420243135211248,0.8918345382091394,0.8047846363735993,0.8550001563371683,0.9319855381314734,2229864,0.8215731372502348,0.6971778760483781,0.7745042744039935,0.8747332016366761,1598117,0.753807797143384,0.6048888730128857,0.9321607358969113,0.6327432493176538,3586156,0.8965876112703957,0.8125589493359477,0.8666781283984064,0.9286352649986962,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_1_checkpoint_best.onnx,17,0.8469597872565774,0.8286162258838955,0.7108900951345485,0.8342705597743982,0.8272084932956085,0.881249713376966,0.7877090391967921,0.8549989098011199,0.9091635184926076,2229864,0.8071071794833959,0.6765965605643124,0.7932795067013372,0.8214254650942328,1598117,0.7509153740494074,0.601172537431511,0.8310845541644291,0.684852248479988,3586156,0.8751926366258127,0.7780822433455782,0.8577192684307071,0.8933927411156055,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_1_checkpoint_final.onnx,17,0.8478952295639935,0.8293370821294322,0.7119501644024685,0.8364105422111726,0.8274123825409322,0.8808065940791693,0.7870012362648566,0.8545716102824329,0.9087034007455164,2229864,0.8099623341366551,0.6806190739761552,0.7941790554721015,0.8263856776443778,1598117,0.7503184467607794,0.6004077157223986,0.8402139132075954,0.6777998503132602,3586156,0.8762609535411249,0.7797726316464638,0.8566775898825605,0.8967606014605747,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_2_checkpoint_best.onnx,17,0.8517237270579618,0.8318265323614445,0.7146531072199737,0.8456588995533092,0.8283826983413538,0.8597811131984439,0.7540491770051518,0.8278638500966082,0.8942581251592026,2229864,0.8277740013011095,0.7061556408234378,0.8056635367104008,0.8511323013271244,1598117,0.7593651026195107,0.6120778193672087,0.895640581801426,0.6590828731376995,3586156,0.8803859123267141,0.786329791684096,0.853467629604802,0.9090574937413889,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_2_checkpoint_final.onnx,17,0.848721279817469,0.828099451689452,0.7096587367304964,0.845726895639632,0.8230613217466825,0.8606009150106235,0.7553112218083339,0.8263769323202373,0.8977821068908238,2229864,0.8256586367001493,0.7030823085206525,0.8080422822747988,0.8440602283812763,1598117,0.7478518285611683,0.5972550578433692,0.9006822126993617,0.6393628721115311,3586156,0.8782864264858667,0.7829863587496302,0.8478061552641298,0.9110400796030986,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_3_checkpoint_best.onnx,17,0.8363947587854722,0.8125141428041338,0.6877773818651212,0.836029035285593,0.8054898006863452,0.8411776451360453,0.725890074182077,0.8167013705573036,0.8671663383955255,2229864,0.816984354473072,0.6905947166144014,0.7924708641984023,0.8430628045380908,1598117,0.7221961155631741,0.5651854125341558,0.9016272803735002,0.6023279522697841,3586156,0.8696984560442437,0.7694393241298506,0.8333166260131655,0.9094021075419806,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_3_checkpoint_final.onnx,17,0.8408929039450252,0.816112104908707,0.6937121008994207,0.8453632940615732,0.8146746718542499,0.8526869260742084,0.7432033552590375,0.8021731748189713,0.909990026297568,2229864,0.822982123170602,0.6992095357018002,0.7870972053331079,0.8622954389447081,1598117,0.7145518712722304,0.5558776393252327,0.9560489169955154,0.5704553845398805,3586156,0.8742274991177869,0.7765578733116124,0.8361338790986981,0.9159578376348428,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_4_checkpoint_best.onnx,17,0.8690572626450482,0.8493992874553979,0.7401833520276584,0.8564808363405413,0.8531490061221755,0.8749792164883239,0.7777449353043376,0.8357797206251842,0.9180367053775477,2229864,0.8319708964004234,0.7122861012936194,0.7869113418075786,0.8825042221564504,1598117,0.7952438848160917,0.6600870290620572,0.9276477700905211,0.6959153477985899,3586156,0.895403152116753,0.8106153424506194,0.8755845128388812,0.916139749156114,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_4_checkpoint_final.onnx,17,0.8719543008243337,0.8517506104387298,0.7434497314500144,0.859963170340764,0.8528352610694536,0.8737746583214226,0.7758435421272881,0.8347260966811763,0.9166559036784306,2229864,0.8274233847799932,0.7056454768413972,0.7944326813501562,0.8632728392226602,1598117,0.808431021466488,0.678459271792591,0.9334873900027713,0.7129229737914358,3586156,0.8973733771870147,0.8138506350387811,0.8772065133289517,0.9184893275852878,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d__baseline/onnx_exports/fold_5_checkpoint_final.onnx,17,0.8590941148645738,0.8408546964253509,0.7276605701665574,0.8464545848565179,0.8442314324909936,0.8719416103301925,0.7729578701909369,0.8284010220928684,0.9203130773894731,2229864,0.8286780887267288,0.7074725408542254,0.7950997411806784,0.8652176279959477,1598117,0.7774381192375004,0.6359090132538895,0.895098605465529,0.687116790234446,3586156,0.8853609674069819,0.7943028563671777,0.8672189706869962,0.9042782343441076,10411655
